== CLASSIC PARADISE ==

Broccoli | intermediate | Just having a picnic!
Buzzer | intermediate | The big red buzzer in a building.
GameGo | intermediate | Near one of the bridges.
Latte | intermediate | Near the gigantic tree, just chilling.
Mouthy | intermediate | On the beach.
Pear Tree | intermediate | Hidden in Greenhouse, try to get up the big pear tree.
Sidewalk | intermediate | On a sidewalk, where else do you think it would be?
Square Lemon | intermediate | Someone tell them to stop being so sour. (Hidden in Greenhouse)
Violet | intermediate | In the greenhouse, with all of her siblings!
Container | hard | Look on an island near spawn.
Fruit Bowl | hard | At one of the smaller islands in Greenhouse.
Grapes | hard | Hanging from a tree.
Meatloaf | hard | Look in the small cave area.
Redcurrant | hard | Get on top of the trees at spawn.
Amethyst | difficult | Where else do you think you'd find a gem, genius?
Emerald | difficult | In the cave, being antisocial.
Peapod | difficult | Find a way on top of the greenhouse.
Quiver | difficult | This sure does make me quiver... Look near where one may have passed away.
Elbow | extreme | Got stuck in a chimney (elbow-zo. hah. get it?)
Lancer | extreme | In the cave, chase after that rascal!
Robot Cake | extreme | Where do all robot cakes hide... Under a bridge, of course.
Spider Ball | extreme | Crawling around in the small cave area.
Bolty | unforgiving | Start by finding a weather machine.
Bug Zapper | unforgiving | Start in greenhouse, then look for pesky buzzing sounds.
Butter Churner | unforgiving | One of the houses is locked... perhaps you should find a key?
Iolite | unforgiving | Stuck between a ROCK and a hard place. (Start in Cave)
Asteroid | insane | Look in the cave for an obby. It starts in the upper floor.
Beetroot | insane | Start farming.
Crystal Firey | insane | In the cave. Talk to Emerald to know more.
Dioptase | insane | You can't reach that island. Unless... (Hidden in Cave)
Infinity | insane | Do each obby on the beach, starting with the blue one.
Magney | insane | Upstairs in the cave.
Rainbow Slinky | insane | Find a rainbow rectangle in the Greenhouse.
BFDIA 5b | dreadful | 5b is a game, and this object is under a platform!
Birdie | dreadful | When they talked about canaries in coal mines, I don't think this is what they meant. (Start in Cave)
Calamari Ring | dreadful | Something's off with one of the Lancer rooms...
Clickbait Arrow | dreadful | There's like twenty of them, I'm sure you'll be able to find them!
Peach | dreadful | Start by finding a book in Greenhouse.
Deadly | terrifying | Beware the door in the cave.
Grarblicker | terrifying | Find 5 buttons around the spawn and cave areas. (WARNING: TELEPORTING WILL REMOVE YOUR PROGRESS!!!)
Spinel | terrifying | Because this update didn't have enough gems, we just had to add another! (Start in Cave)
Veterany | terrifying | Get on top of the Starter Place house, then find another realm. Look under the bridges.
2009 Firey | arduous | Embrace your inner retro... Find 6 classic Roblox weapons around the map, then head to Starter Place.
Sausage Roll | arduous | sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll sausage roll (in the Bird of Egypt obby)
Three-Leaf Clover | arduous | Find a set of clovers somewhere, then do 3 obbies.
Up Arrow | arduous | In Deadly's area, look in the opposite direction of where this arrow is pointing.
Oxygen | strenuous | Go where an unusual light shines.
Plastic Sun | strenuous | Start in Greenhouse - check near a lookalike of the object. [ hey a little fun fact! this was gonna be rem! ]
Administratory | remorseless | Get on top of the Starter Place house, then find another realm. Scavenge for buttons.
Bird From Egypt | remorseless | It's time to feel pain. Find the hieroglyphs.
Jade | remorseless | Take a leap of faith in the cave.
Cake's Dad | horrifying | Begin by going to Starter Place, check near the huge tree for a hint. Then, go to Timber Peaks, in search of a key. <b>All of this shall lead you to a perilous paradox.</b>
